% Copyright (C) 2001-2018 Artifex Software, Inc.
% All Rights Reserved.
%
% This software is provided AS-IS with no warranty, either express or
% implied.
%
% This software is distributed under license and may not be copied,
% modified or distributed except as expressly authorized under the terms
% of the license contained in the file LICENSE in this distribution.
%
% Refer to licensing information at http://www.artifex.com or contact
% Artifex Software, Inc.,  1305 Grant Avenue - Suite 200, Novato,
% CA 94945, U.S.A., +1(415)492-9861, for further information.
%
%
% Unicode Decoding
% Maps PS and TT names to Unicode UTF-16.

% The file is in tabular format, with columns separated by exactly 2 spaces.
% The 1st column is the Unicode value assigned to all names in that row.
% The other columns contain glyph names based on the source these names
% came from; if a column contains more than 1 name, these are separated by
% exactly one space. So, WHITESPACE IS SIGNIFICANT (for documenting/editing purposes).
%
% The sources of glyph names in the current version of this file are, in column order:
%
% [AGLFN] Adobe Glyph List For New Fonts v1.7 dated November 6, 2008
%         http://www.adobe.com/devnet-archive/opentype/archives/aglfn.txt
% [AGLv2] Adobe Glyph List v2.0 dated September 20, 2002
%         http://www.adobe.com/devnet-archive/opentype/archives/glyphlist.txt
%         - this list is a strict superset of [AGLFN], and only names that are not
%           already in [AGLFN] are present in this column.
%         - mappings to sequences of UVs (decomposed ligatures) are
%           commented out with a "%L#" at the beginning of the line.
% [ZDGL2] ITC Zapf Dingbats Glyph List v2.0 dated September 20, 2002
%         http://www.adobe.com/devnet-archive/opentype/archives/zapfdingbats.txt
% [R9887] All names that were present in SVN revision 9887 of this file and
%         are not included in any of the lists above.
%
%/Unicode         % resource name
%6514             % # of names
%/ParseDecoding /ProcSet findresource /Parse get exec
%
16#0000        .null NUL
16#0207    einvertedbreve    omegaclosed
16#0208    Idblgrave
16#0209    idblgrave    rturn
16#020A    Iinvertedbreve    rturnascend
16#020B    iinvertedbreve    rturnrthook rturnhook
16#020C    Odblgrave    rdescend
16#020D    odblgrave    rrthook
16#020E    Oinvertedbreve
16#020F    oinvertedbreve    rfishhookrev
16#0210    Rdblgrave    Rsmallcap
16#0211    rdblgrave    Rsmallcapinv
16#0212    Rinvertedbreve    srthook
16#0213    rinvertedbreve
16#0214    Udblgrave    jhookdblbar
16#0215    udblgrave    eshshortrev
16#0216    Uinvertedbreve
16#0217    uinvertedbreve    tturn
16#0218    Scommaaccent    trthook
16#0219    scommaaccent
16#021B        vscript
16#021C        vturn
16#021D        wturn
16#021E        yturn
16#021F        Ysmallcap
16#0220        zrthook
16#0222        yogh
16#0223        yoghcurl
16#0225        glottalstoprevinv
16#0226        glottalstopinv
16#0227        cstretch
16#0229        Bsmallcap
16#022A        epsilonclosed
16#022B        Gsmallcaphook
16#022C        Hsmallcap
16#022D        jcrosstail
16#022E        kturn
16#022F        Lsmallcap
16#0231        glottalstopbar
16#0232        glottalstopbarrev
16#0234        dyogh
16#0239        hsuper
16#023A        hhooksuper
16#023B        jsuper
16#023C        rsuper
16#023D        rturnsuper
16#023E        rturnrthooksuper rturnhooksuper
16#023F        Rturnsuper
16#0240        wsuper
16#0241        ysuper
16#0243        primedblmod
16#0244        quoteleftmod
16#0245        apostrophe
16#0246        apostropherev
16#0247        ringrighthalfsuper
16#0248        ringlefthalfsuper
16#0249        glottal
16#024A        glottalrev
16#024B        fronted
16#024C        backed
16#024D        raised
16#024E        lowered
16#024F        SD150100
16#0250    aturned    SD210000
16#0251    ascript    linevert
16#0252    ascriptturned    SD310000 overscore1 macron1
16#0253    bhook    acute1
16#0254    oopen    grave1
16#0255    ccurl    linevertsub
16#0256    dtail    macronsub
16#0257    dhook    gravesub
16#0258    ereversed    acutesub
16#0259    schwa    length
16#025A    schwahook    halflength
16#025B    eopen    ringrighthalfcenter
16#025C    eopenreversed    ringlefthalfsup
16#025D    eopenreversedhook    tackupmid
16#025E    eopenreversedclosed    tackdownmid
16#025F    jdotlessstroke
16#0260    ghook
16#0261    gscript    SD230000
16#0262        SD290000
16#0263    gammalatinsmall    SD270000
16#0264    ramshorn    SD430000
16#0265    hturned    SD190100
16#0266    hhook    SD250000
16#0267    henghook    rhotichook
16#0268    istroke
16#0269    iotalatin    gammasuper
16#026A        lsuper
16#026B    lmiddletilde    ssuper
16#026C    lbelt    xsuper
16#026D    lhookretroflex    glottalrevsuper
16#026E    lezh    toneextrahigh
16#026F    mturned    tonehigh
16#0270    mlonglegturned    tonemid
16#0271    mhook    tonelow
16#0272    nhookleft    toneextralow
16#0273    nhookretroflex    gravenosp
16#0274        acutenosp
16#0275    obarred    circumflexnosp
16#0276        tildenosp
16#0277    omegalatinclosed    macronnosp
16#0278    philatin    overscorenosp
16#0279    rturned    brevenosp
16#027A    rlonglegturned    dotnosp
16#027B    rhookturned    dieresisnosp
16#027C    rlongleg    hooksupnosp
16#027D    rhook    ringnosp
16#027E    rfishhook    acutedblnosp
16#027F    rfishhookreversed    haceknosp
16#0280        linevertnosp
16#0281    Rsmallinverted    linevertdblnosp
16#0282    shook    gravedblnosp
16#0283    esh    candrabindunosp
16#0284    dotlessjstrokehook    breveinvnosp
16#0285    eshsquatreversed    commaturnsupnosp
16#0286    eshcurl    apostrophesupnosp
16#0287    tturned    commasuprevnosp
16#0288    tretroflexhook    commasuprightnosp
16#0289    ubar    gravesubnosp
16#028A    upsilonlatin    acutesubnosp
16#028B    vhook    tackleftsubnosp
16#028C    vturned    tackrightsubnosp
16#028D    wturned    anglesupnosp
16#028E    yturned    hornnosp
16#028F        ringlefthalfsubnosp
16#0290    zretroflexhook    tackupsubnosp
16#0291    zcurl    tackdownsubnosp
16#0292    ezh    plussubnosp
16#0293    ezhcurl    minussubnosp
16#0294    glottalstop    hooksubpalatnosp
16#0295    glottalstopreversed    hooksubretronosp
16#0296    glottalstopinverted    dotsubnosp
16#0297    cstretched    dotdblsubnosp
16#0298    bilabialclick    ringsubnosp
16#0299        commasubnosp
16#029A    eopenclosed    cedillanosp
16#029B    Gsmallhook    ogoneknosp
16#029C        linevertsubnosp
16#029D    jcrossedtail    bridgesubnosp
16#029E    kturned    archdblsubnosp
16#029F        haceksubnosp
16#02A0    qhook    circumflexsubnosp
16#02A1    glottalstopstroke    brevesubnosp
16#02A2    glottalstopstrokereversed    breveinvsubnosp
16#02A3    dzaltone    tildesubnosp
16#02A4    dezh    macronsubnosp
16#02A5    dzcurl    underscorenosp
16#02A6    ts    underscoredblnosp
16#02A7    tesh    tildemidnosp
16#02A8    tccurl    barmidshortnosp
16#02A9        barmidlongnosp
16#02AA        slashshortnosp
16#02AB        slashlongnosp
16#02AC        ringrighthalfsubnosp
16#02AD        bridgeinvsubnosp
16#02AE        squaresubnosp
16#02AF        seagullsubnosp
16#02B0    hsuperior    xsupnosp
16#02B1    hhooksuperior    tildevertsupnosp
16#02B2    jsuperior    overscoredblnosp
16#02B3        graveleftnosp
16#02B4    rturnedsuperior    acuterightnosp
16#02B5    rhookturnedsuperior
16#02B6    Rsmallinvertedsuperior
16#02B7    wsuperior    diaeresistonosnosp
16#02B8    ysuperior    iotasubnosp
16#02B9    primemod
16#02BA    dblprimemod
16#02BB    commaturnedmod
16#02BC    afii57929 apostrophemod
16#02BD    afii64937 commareversedmod    numeralgreek
16#02BE    ringhalfright    numeralgreeksub
16#02BF    ringhalfleft
16#02C0    glottalstopmod
16#02C1    glottalstopreversedmod
16#02C2    arrowheadleftmod
16#02C3    arrowheadrightmod    iotasub
16#02C4    arrowheadupmod
16#02C5    arrowheaddownmod
16#02C6  circumflex
16#02C7  caron
16#02C8    verticallinemod
16#02C9    firsttonechinese
16#02CA    secondtonechinese
16#02CB    fourthtonechinese
16#02CC    verticallinelowmod
16#02CD    macronlowmod
16#02CE    gravelowmod    diaeresistonos
16#02CF    acutelowmod
16#02D0    colontriangularmod
16#02D1    colontriangularhalfmod
16#02D2    ringhalfrightcentered
16#02D3    ringhalfleftcentered
16#02D4    uptackmod
16#02D5    downtackmod
16#02D6    plusmod
16#02D7    minusmod
16#02D8  breve
16#02D9  dotaccent      iotadiaeresistonos
16#02DA  ring      GA020000
16#02DB  ogonek      GB020000
16#02DC  tilde  ilde    GG020000
16#02DD  hungarumlaut      GD020000
16#02DE    rhotichookmod    GE020000
16#02E0    gammasuperior
16#02E1        GT620000
16#02E3    xsuperior
16#02E4    glottalstopreversedsuperior
16#02E5    tonebarextrahighmod
16#02E6    tonebarhighmod
16#02E7    tonebarmidmod
16#02E8    tonebarlowmod
16#02E9    tonebarextralowmod    GP020000
16#02EC        GS020000
16#02ED        GT020000
16#02EF        GF020000
16#02F2        GO320000
16#02F3        Iotadiaeresis
16#02F4        Upsilondiaeresis
16#02F9        upsilondiaeresistonos
16#02FA        GA010000
16#02FB        GB010000
16#02FC        GG010000
16#02FD        GD010000
16#02FE        GE010000
16#0300  gravecomb  gravecmb
16#0301  acutecomb  acutecmb    GT610000
16#0302    circumflexcmb
16#0303  tildecomb  tildecmb
16#0304    macroncmb
16#0305    overlinecmb
16#0306    brevecmb
16#0307    dotaccentcmb
16#0308    dieresiscmb
16#0309  hookabovecomb  hookcmb    GP010000
16#030A    ringcmb
16#030B    hungarumlautcmb
16#030C    caroncmb    GS010000
16#030D    verticallineabovecmb    GT010000
16#030E    dblverticallineabovecmb
16#030F    dblgravecmb    GF010000
16#0310    candrabinducmb
16#0311    breveinvertedcmb
16#0312    commaturnedabovecmb    GO310000
16#0313    commaabovecmb    iotadiaeresis
16#0314    commareversedabovecmb    upsilondiaeresis
16#0315    commaaboverightcmb
16#0316    gravebelowcmb
16#0317    acutebelowcmb
16#0318    lefttackbelowcmb
16#0319    righttackbelowcmb    beta1
16#031A    leftangleabovecmb
16#031B    horncmb
16#031C    ringhalfleftbelowcmb    Upsilon1tonos
16#031D    uptackbelowcmb    Upsilon1diaeresis Upsilon1dieresis
16#031E    downtackbelowcmb
16#031F    plusbelowcmb    pi1
16#0320    minusbelowcmb
16#0321    hookpalatalizedbelowcmb
16#0322    hookretroflexbelowcmb
16#0323  dotbelowcomb  dotbelowcmb    Stigma
16#0324    dieresisbelowcmb
16#0325    ringbelowcmb    Digamma
16#0327    cedillacmb    Koppa
16#0328    ogonekcmb
16#0329    verticallinebelowcmb    Sampi
16#032A    bridgebelowcmb
16#032B    dblarchinvertedbelowcmb
16#032C    caronbelowcmb
16#032D    circumflexbelowcmb
16#032E    brevebelowcmb
16#032F    breveinvertedbelowcmb
16#0330    tildebelowcmb
16#0331    macronbelowcmb
16#0332    lowlinecmb
16#0333    dbllowlinecmb
16#0334    tildeoverlaycmb
16#0335    strokeshortoverlaycmb
16#0336    strokelongoverlaycmb
16#0337    solidusshortoverlaycmb    Dei
16#0338    soliduslongoverlaycmb    dei
16#0339    ringhalfrightbelowcmb    kappa1
16#033A    bridgeinvertedbelowcmb    rho1
16#033B    squarebelowcmb    sigmalunate
16#033C    seagullbelowcmb
16#033D    xabovecmb
16#033E    tildeverticalcmb
16#033F    dbloverlinecmb
